,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Top Review Image Url,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
0,Aeromexico,5,"""Return flight had problems""",30th March 2025,True,"   I booked London - Mexico City - London Business Class tickets. Outgoing flight gave us access to the Virgin lounge at Heathrow and it was excellent. Return flight had problems: could not check in or select meal on-line using iPad (their website only works on Microsoft). Though in transit, I had to go through immigration, baggage reclaim and security before handing back my luggage to be loaded on the flight home. Refused admittance to their Heineken lounge because I presented more than 3 hours early (just arrived on their flight from Cuba) Lounge was noisy, cramped and spartan when I did get in. But flight was good.",,Boeing 787,Solo Leisure,Business Class,Mexico City to London,March 2025,5.0,4.0,3.0,1.0,2.0,,3,no
1,Aeromexico,1,"""Very disappointed""",29th March 2025,True,"   Flew from Mexico City to Toronto March 2025 , had very uncomfortable seating and was charged an Exorbitant amount to transport my golf clubs home ($190). My flight to my winter destination, the charge by WestJet was $75 for my golf clubs. During my flight I had requested an alcoholic beverage and was told they didn’t have any. Upon arrival in Toronto my golf club travel bag was basically destroyed. Very disappointed.",,,Couple Leisure,Economy Class,Mexico city to Toronto,March 2025,1.0,3.0,1.0,5.0,3.0,,2,no
2,Air Canada rouge,10,"""showing if the bathroom is occupied""",29th March 2025,False,"  Flight was awesome. Staff was awesome. My issue is the fact that Air Canada doesn't notify people that there is a light showing if the bathroom is occupied or not. Green if available, red if occupied. The stewardess had to keep returning people to their seats as they kept lining up and blocking the aisle. A simple glance can tell you if there is someone already in the bathroom. In the business section they keep the curtain closed. You might think no one is using the bathroom but it could be the pilot or co-pilot, but a simple glance up will show you that it is available or not.",https://www.airlinequality.com/wp-content/uploads/2025/03/20250327_194908-1-500x500.jpg,,Couple Leisure,Economy Class,Toronto to Dominican Republic,March 2025,5.0,5.0,5.0,5.0,,5.0,5,yes
3,Air India,1,"""can’t carry more than 15 kg""",3rd April 2025,True,"   I spoke to Air India call center before booking my flight as I had Thai airlines booked at 23:30 from Delhi to Sydney. I asked the lady am I allowed 25 kg plus 7 as I have connected international flight with Thai, she put on hold and replied yes you will be allowed 25 kg plus 7. When I reached Chandigarh airport the staff said no u can’t carry more than 15 kg, you can only carry 25 if you have connected international flight through Air India. I had to suffer and I miss my flight, she said you can board the flight without the luggage, which was a joke, I had to reissue my Thai ticket where I had to pay a penalty of $420 plus the fare I spend on this flight.",,,Solo Leisure,Economy Class,Chandigarh to New Delhi,April 2025,,,,1.0,,,1,no
4,Air Transat,2,"""insists that my carry-on is too big""",31st March 2025,True,"   I had the most ridiculous experience on my way back from Portugal. We had only brought carry-ons and checked-in online, but to get our boarding passes they made us get in line and go through check-in anyway. When we get to the front a worker insists that my carry-on is too big, even though we took the same plane on the way there and there was no issue!! I tell her ""this makes no sense. We flew with you guys here and it fits in the over head"" so she tells me to weigh it and says it's overweight. It turns out the rules online say the weight requirements are ""light enough that you can lift it without assistance"". So they make me pay 76 EUROs to check it and then I find out the flight was full. I guess they were trying to make room, but instead of asking people to check their carry-on for free like normal, they wanted to ring more cash out of people who booked a flight with just carry on bags. I take 6 trips a year with the same carry on bag and have never experienced this. Will not be flying with them again.",,A330-200,Couple Leisure,Economy Class,Lisbon to Toronto,March 2025,2.0,3.0,2.0,1.0,,,2,no
5,AirSWIFT,1,"""Hot and humid the whole flight""",30th March 2025,True,"   They charged me 11,600 for two regular size checked bags.The flight was only 1 hr and 15 minutes and it was a hotbox. Everybody was sweating. Hot and humid the whole flight.",,,Solo Leisure,Economy Class,El nido to Manila,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
6,Akasa Air,4,"""way they handle passengers luggage""",3rd April 2025,True,"   I am not satisfied with the way they handle passengers luggage. It was very frustrating when received my luggage bag at Mumbai airport with big cracks in it, so here we buy expensive and strong bags just to make sure our things in it remains safe and due to this irresponsible baggage handling policy we have to think twice before we buy such expensive bags again.",,Boeing 737,Family Leisure,Economy Class,Kuwait to Mumbai,February 2025,3.0,2.0,,3.0,,,5,yes
7,Akasa Air,1,"""I do not recommend Akasa Air""",30th March 2025,True,"   I recently traveled with Akasa Air from Bengaluru to Abu Dhabi as part of my Etihad Airways booking. This was one of the worst airline experiences I have ever had due to poorly trained staff, unprofessional behavior, and unfair baggage policies. Harassment at Check-in Over Name Format At the Bengaluru airport, I was held up for 45 minutes because my middle name was part of my last name in my passport (which is a common format in Indian passports). This same name format was used in my UK visa and all my documents, yet Akasa staff acted as if my passport was incorrect and interrogated me unnecessarily. They completely lacked basic knowledge of name formats and international travel documents. I had 2 kg excess baggage, and instead of allowing me to remove or adjust my items, they forced me to pay ₹11,000!  This was completely unreasonable and felt like a scam.  The ground staff was arrogant, unhelpful, and had no sense of customer service. Instead of assisting passengers, they were rude and dismissive. The way they handled my check-in added unnecessary stress to my journey. If you are flying with Etihad Airways, avoid routes that involve Akasa Air—it will completely ruin your travel experience. I do not recommend Akasa Air to anyone who values professionalism, fairness, and stress-free travel.",,,Solo Leisure,Economy Class,Bengaluru to Abu Dhabi,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
8,Batik Air,1,“worth paying more for better service”,31st March 2025,True," Batik Air's airport staff closed the check-in counter earlier than scheduled. When they reopened it, it was already too late to check in. The staff was unhelpful and falsely claimed to have called our names, even though we were present and heard nothing. We had to purchase another ticket to Jakarta because of this. Also, when we were heading to Bangkok, our flight was delayed by almost an hour with no notification or compensation provided. Overall, I wouldn't recommend this airline. It's worth paying more for better service.",,,Solo Leisure,Economy Class,Bangkok to Jakarta ,March 2025,1.0,2.0,1.0,1.0,1.0,1.0,2,no
9,Bluebird Airways,1,"""do not recommend this airline""",1st April 2025,True,"   Terrible experience with BlueBird Airways! At check-in for flight BZ131 from Rome to Tel Aviv on 23/03/2025, I was forced to pay an additional fee for my trolley, even though it met all carry-on requirements for size and weight, and was paid for with my ticket. The check-in agent didn't measure my luggage, just visually assessed it. This was completely unjustified and caused me financial loss and stress. I will never fly with BlueBird Airways again and do not recommend this airline to anyone.",https://www.airlinequality.com/wp-content/uploads/2025/03/PSX_20250331_234749-500x500.jpg,,Couple Leisure,Economy Class,Rome to Tel Aviv ,March 2025,3.0,3.0,1.0,1.0,1.0,1.0,2,no
10,Breeze Airways,1,"""Will never fly Breeze again""",1st April 2025,True,"   Flight was scheduled to leave at 9:30 pm. After literally 9 delays, we finally took off at 4:12 am and landed at 5:30 am. Absolutely no sleep after spending the night in the airport. Could have gotten a hotel, slept, and then gone to the airport. Security was actually open for the next day already. Was offered no food or drink while we waited and all the stores were closed. To add insult to injury, was only offered points to use on another flight at the equivalent of $50. Will never fly Breeze again.",,,Solo Leisure,Economy Class,Charleston to Tampa,March 2025,1.0,3.0,1.0,1.0,1.0,1.0,1,no
11,British Airways,9,"""one of the best BA First flights I’ve had""",3rd April 2025,False,"  LHR T5 BA Gold Wing worked well. Pleasant check in and very fast security screening. Concorde room service attentive. C gate boarding OK but nothing special for First Passengers. Latest BA version of first with only 8 suites with privacy doors. Comfortable seat with plenty of stowage. Good screen and good choice of IFE. Amenity kit good quality and bedding, pillows cushions and blankets all good. Excellent menu and food very well presented. Cabin crew could not have been more attentive and helpful without being obtrusive. On time departure and early arrival. Bags delivered relatively swiftly and priority tagged bags were first off. All in all one of the best BA First flights I’ve had in many years. Whilst not touching the Middle Eastern carriers BA First on this showing is easily the best way to cross the Atlantic.",,Boeing 777 200,Business,First Class,London to Seattle,April 2025,5.0,5.0,5.0,4.0,5.0,3.0,4,yes
12,British Airways,10,"""Very good service on this route""",31st March 2025,False,"  Very good service on this route BA2710 30th March. Cabin crew worked hard, particularly Ivka (?) who was on the go throughout the flight. Everything you would expect of BA (and as it used to be!) Shame the same cannot be said on our recent flight back from Singapore, in Business Class on 11th Feb BA12. Miserable, unhappy and tetchy crew. Too lazy to do anything except sleep! Perhaps BA need to promote some of their short-haul performers, and let the others go.",,A320,Couple Leisure,Business Class,London Gatwick to Fuerteventura,March 2025,4.0,5.0,5.0,4.0,,,4,yes
13,China Airlines,1,“the seat is super tight”,2nd April 2025,True," Very bad. Small plane and the seat is super tight. Seat has no inclination. Suffer for the entire 4-5 hours of flight. I thought EVA was bad due to their arrogance, but this is worse in terms of comfort.",,,Couple Leisure,Economy Class,Taipei City to Singapore,April 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
14,Delta Air Lines,8,"""did their jobs with passion""",29th March 2025,True,"   I had a heartbreaking day on my departure day. So when I was checking in at Delta, I was crying…( actually more like bawling). Well I wasn't at first, but when Ms Carol asked me how was my day, tears just fell and couldn’t stop it…felt heavy…so I really appreciate that question a lot, she gave me some small talk, which made me open up a bit and that’s when I started crying. She didn’t have to continue comforting me, but she did and I felt it in my heart. Ms Ammi saw me crying and offered me some juice and orange, and a Chocolate cupcake and also comforted me despite how busy they were. They are the best strangers I’ve encountered at that moment too, for the longest time, and that made me feel way lighter. So I think it’s not about the place, or the airline, it’s the people that works within - a truly unforgettable experience even though that was a month ago. I am talking about the Ground staff of Delta Airlines in Baltimore Airport! They did their jobs with passion and understanding, and I salute them all…",,,Solo Leisure,Economy Class,Baltimore to Seoul via Atlanta,February 2025,3.0,3.0,3.0,5.0,3.0,3.0,3,yes
15,Discover Airlines,1,"""extremely bad service""",31st March 2025,False,"  I guess no service might be even better than extremely bad service. if you fly with Discover, here is my advice. Bring your own drinks along, and that applies in particular to water. You are offered 0.1 litre complementary water in a cup. If you ask for more, you don't get anything. You may purchase water for an incredible price. And go to the toilet before the flight. Even for a 3.5 hours flight, you are considered as disturbing factor to the flight crew if you go in the toilet. I paid for a full flexible ticket and I knew, I don't get much service. But to get this unmotivated crew was a little shock for me. I will fly them again, to return to my home town, But then: Never.",,A320,Family Leisure,Economy Class,Munich to Marrakesh ,March 2025,3.0,1.0,,5.0,3.0,3.0,1,no
16,Discover Airlines,1,"""the flight was unpleasant""",31st March 2025,True,"   First of all, they rejected the entrance while boarding to several passengers because of a wrong boarding group even though it was the last passengers of the previous group and these passengers were asked to go back to the cue. They didn’t allow to put my hand luggage into the airplane because it’s too large. I had to take all my electronics and carry them with me. Seats are uncomfortable and the flight was unpleasant. ",,,Business,Economy Class,Palma de Mallorca to Frankfurt,March 2025,1.0,1.0,,1.0,,,1,no
17,Discover Airlines,3,"""boarding was a mess""",30th March 2025,True,"   One of the most rude and unprofessional ground and cabin crew. The gate agent screamed at me because I had handed her the boarding pass from my previous flight by mistake; boarding was a mess with the gate being changed three times. The aircraft was parked away from the gate, so we had to use buses to get to the aircraft, which was fine but they made us wait for several minutes inside the bus after bringing us away from the terminal saying that the aircraft wasn't ready. Cabin crew ignored calls toward the later part of the flight and closed service more than 40 minutes before the end of the flight, refusing to serve water.",,A330,Solo Leisure,Economy Class,Frankfurt to Calgary,March 2025,5.0,1.0,4.0,1.0,5.0,,3,no
18,Emirates,7,"""Seats were comfortable""",1st April 2025,True,"   An uneventful flight to Amsterdam. Catering was not the best this time: bland food and sides. We were served twice, it filled our stomach but that was it. Service provided by the staff was friendly and speedy despite a full plane. Seats were comfortable. We landed 30 min earlier in Amsterdam.",,A380,Couple Leisure,Economy Class,Dubai to Amsterdam,March 2025,5.0,5.0,3.0,5.0,4.0,3.0,5,yes
19,Etihad Airways,5,"""Etihad has cut down their service""",31st March 2025,True,"   I flew from Toronto to Colombo  via AUH. It's a long 14 hr flight. Flight was a new A350. Very comfortable. Service is terrible, food portions are very small and choices are available are all Indian food. No other options available. Only chicken or veg are the two options. After the dinner service no mid flight snack available. Only available option for snack is 4 small Oreo cookies. No water service, have to go to galley and get your water if you need water. Etihad has cut down their service and I felt like I flew on a north American carrier, not a middle eastern carrier. You cannot compare with Emirates or Qatar anymore.",,A350,Couple Leisure,Economy Class,Toronto to Abu Dhabi,March 2025,4.0,2.0,3.0,5.0,5.0,3.0,3,no
20,Fiji Airways,1,"""no compensation offered""",3rd April 2025,False,  Change dates of flights with no compensation offered. Change paid for seats with no compensation offered. Do not get our special meal. A $30 voucher offered to the food court with no gluten free.  The seats are angle beds and are rubbish.,,,Couple Leisure,Business Class,Nadi to San Francisco,March 2025,1.0,1.0,1.0,3.0,2.0,,1,no
21,Flair Airlines,1,Flair Airlines customer review,1st April 2025,True,"   I flew light on my recent trip from Calgary to Cancun. All I needed was 5kg of my essential items in tiny 20L backpack. After the arrival at the Calgary airport, I went to finish my online booking at the counter as instructed. The person who finished my check-in looked at my backpack and asked me to slide it into the measuring cage. My backpack didn't fit in thanks to the width. I tried to rearrange the content, but after a few minutes a couple of people behind the counter shouting at me that I'll have to pay the higher fee in the departure hall, I resignated and paid $80. I then proceeded with the custom and all that to finally find my gate. As I'm sitting there, I'm noticing people with bags as big as or even bigger than mine, but they had a purple sticker on it saying it's a small personal item which is for free.  I waited in the line to board my plane to talk to someone about it. When my turn came up I asked a person behind the counter how come a good half of people have a bigger backpacks than me and didn't have to pay extra fee. To which she answered: ""what people?"" I told her, most of them already boarded, but there was definitely a family of 5 that was before me. This family already proceeded through the boarding/passport control, they were on their way to the plane. That woman went and brought the whole family back behind the counter, next to the measuring cage, next to me. She told a man to put his bag into the cage (the smallest bags of them all), that I complained about their luggage. The family obviously upset because they were already processed and didn't understand what was happening. The man was struggling to squeeze his backpack there, taking a few items out, handing them over to his people. I'm standing there embarrassed as hell because everyone passing by to the aircraft was watching this ridiculous scene. The front desk woman turned back to me asked if I was happy now, letting the family go. I was so shocked about this whole situation because I've never experienced a such awful customer service. I didn't come at her with an attitude, I was genuinely curious how come I have to pay a hefty $80 fee, whilst others don't. Just asking for fairness. This person was giving me an attitude from the start. Like how come I dared to have a question.  I figured the reason why they charged me was the fact I paid for no luggage, so at least they could rip me off on my personal item. Not to mention that my 5+ hours flight had zero free refreshments, zero entertainment.",,,Solo Leisure,Economy Class,Calgary to Cancun,March 2025,1.0,2.0,1.0,1.0,1.0,1.0,1,no
22,Flair Airlines,4,"""$82 last name & first name interchanged""",30th March 2025,True,"   $82 last name & first name interchanged that was sad, of all the info provided in the ID is not good enough to prove your identity.",,,Solo Leisure,Economy Class,Abbotsford to Calgary,March 2025,3.0,5.0,2.0,4.0,2.0,3.0,1,no
23,Frontier Airlines,1,"""entire experience was a nightmare""",3rd April 2025,True,"   I recently had the worst travel experience with Frontier Airlines on my trip from IAD to SFO with a layover in Atlanta. My first flight from IAD to Atlanta was delayed by 2 hours, which was frustrating but manageable. However, things went from bad to worse when my connecting flight from Atlanta to SFO was delayed by another 3 hours. After finally boarding, the crew suddenly announced that the flight was canceled! To make matters worse, we had to walk what felt like miles through the airport just to reach the ticketing desk to check on hotel accommodations and rebooking options. After all that, Frontier refused to provide a hotel stay, even though they suggested a flight for the next day. And the alternative flight they offered was completely unrealistic, adding over 18 hours to my trip! This entire experience was a nightmare — horrible customer service, ridiculous delays, and zero support when things went wrong. I will never fly with Frontier again, and I highly recommend others avoid them unless you enjoy stress, exhaustion, and disappointment.",https://www.airlinequality.com/wp-content/uploads/2025/04/image-1-500x500.jpg,,Couple Leisure,Economy Class,Washington to San Francisco via Atlanta,April 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
24,Frontier Airlines,1,"""the worst airline out there""",3rd April 2025,False,"  Third time I've flown Frontier and once again thry confirm that they are, by miles, the worst airline out there. Delay after delay after delay—which turned out to be a result of poor paperwork from their staff, and zero communication. It isn't so much the delay as it is the clear lack of interest in thr frustration of their passengers. It doesn't matter if they delay a wedding or cut a well-earned vacation short. To Frontier, the only thing that matters is you paid them already. After that, you may as well be wind.",,,Couple Leisure,Economy Class,Chicago to Orlando,April 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
25,Frontier Airlines,1,"""no refund has been received""",29th March 2025,False,"  I purchased the return flight ticket in Feb 2025 for a return flight on May 22, I was notified on Mar 4 the flight had been cancelled and I could request a refund on their website which I did and they confirmed was received and processed with an up to 7 day wait. I waited 10 days, no refund I called their customer service and was told the refund would be processed again, with another 7 day wait...10 days later no refund, I called again and told their system shows the refund was sent on March 18, it is now March 28 and no refund has been received and they will do nothing else to verify on their end why I have not received a refund and as far as they are concerned the matter is final!",,,Family Leisure,Economy Class,Los Angeles to Seattle,March 2025,,,,,,,1,no
26,Garuda Indonesia,1,"""won't be flying with them again"" ",31st March 2025,True,"   As an Indonesian expat looking to visit my hometown, I needed quite a lot of baggage room to bring various gifts and knick knacks. I was pleasantly surprised when I found that Garuda Indonesia had a promotion that seemed perfect for my needs. I would pay 800€ for a mixed class flight from Amsterdam to Jakarta, and from there to my hometown to Surabaya with a total allowance of 40kg. flying with Etihad and Singapore airlines worked out to around the same price(with additional baggage), but I thought I'd support the underdog airline. To my dismay, the ticket I'd received only a 30kg allowance. I hurriedly went back to the carrier to make sure I'd bought the right tickets. It turns out that I had. Reaching out to Garuda Indonesia customer service was a nightmare. I was initially told that the tickets where final and that there was nothing they could do about it. I sent a screenshot of the promotion on their website and was eventually told after several hours of going back and forth, and being tossed from one department to another, that it was a confirmed IT system fault and that they could not do anything about it. Resignedly, I asked for a refund at which I was told that I would only receive ~75% of my ticket. Excuse me? this was clearly a garuda fault and false advertising. They escalated it further and I'd finally received an offer of full refund a day or so before the flight date. With no possibility to delay my flight date, and fearing tickets with other airlines were expensive, I felt I had no choice but to take the flight. I tried getting a reimbursement for the extra luggage I had to take but Garuda would only point at KLM, the operating carrier of the first leg, for a reimbursement of the luggage, despite it being Garuda ticketing fault (without being offered a solution or recourse) The most frustrating thing of the experience was that ever email reply I sent was dealt by a different customer service representative who replied with boilerplate and excuses, whereby I had to explain the whole situation again to get anything going. Frankly, the whole customer service run-around felt intentional. Despite all this, I felt that the cabin staff and service on both legs of the flight were pleasant. In the future I definitely won't be flying with them again.",,,Solo Leisure,Economy Class,Amsterdam toSurabayavia via Jakarta ,March 2025,4.0,5.0,2.0,4.0,4.0,3.0,1,no
27,Gulf Air,5,Gulf Air customer review,2nd April 2025,True,"   Booked gulf air business class UK to China, £1800 RT (not bad) last minute. About 16-18h each way inclusive of layover. Cabin is very quiet, probably about 20-25% full. Service is ok but nothing to get excited about, I unfortunately got woken up for food service despite do not disturb light on, there’s no lie flat seat cover which makes the lie flat a little bumpy. The amenity kit is fine but nothing to get too thrilled over, they do not have pyjamas any more which was a shame as I was very looking forward to sleeping in clean clothes on the second overnight leg of my long flight. Lounge in Bahrain is good, nice food options although they could do with more comfortable seating. Airplane food was fine but again nothing thrilling or very tasty - I ended up skipping a couple meals just out of lack of interest in the options provided. Meant to be a “dine anytime” service but if you ask for food outside of the service the staff look very irritated. I asked for an extra sandwich during the tea service (I’d slept through breakfast) and was told no by the attendant despite the cabin being very quiet and food definitely being tossed given wouldn’t be finished. Overall value isn’t bad for the price you’re paying as other airlines would be many multiples more, but there certainly could be improvements that'd make it a much more premium experience. Cabin WiFi does not work at all. Recommend if you’re looking for a budget lie flat seat. Beyond the seat, may not be worth it for those who prefer a premium experience (there are better Middle Eastern airlines.)",,,Solo Leisure,Business Class,London to Guangzhou via Bahrain,March 2025,3.0,2.0,2.0,3.0,2.0,1.0,4,yes
28,Hawaiian Airlines,2,"""just how far Hawaiian has fallen""",1st April 2025,True,"   For 20+ years I've been flying Hawaiian Airlines both from West Coast cities to the islands, and to the South Pacific on international routes. While some of their planes have traditionally been older, the service at the airport and onboard always differentiated the airlines. We recently flew first class round trip from PHX to OGG via HNL on the new 787s. Wonderful hard product, for certain that is now fully competitive with what other airlines offer on International service. But the soft product (customer service, food, beverage, etc.) is now awful. From the check-in experience, to the lounges to the in-flight service, it feels like no one wants to work at the airline anymore or cares about customers. It surprised my wife and I just how far Hawaiian has fallen in such a short time of being taken over by Alaska. I am always happy to pay for great service -- and thus I book and pay for full first class fares. But never again on this airline; it just isn't worth it.",,Boeing 787,Business,First Class,Honolulu to Phoenix,March 2025,5.0,1.0,1.0,1.0,3.0,3.0,1,no
