,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Top Review Image Url,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
29,Iberia,1,"""lost luggage department is atrocious""",30th March 2025,True,"   Iberia lost luggage department is atrocious. I booked with Iberia to fly from Seattle to Mallorca for a bike trip. I had to change planes in Chicago and Madrid. When I arrived in Mallorca early afternoon on 29th March, neither my bike case nor my suitcase were there. The lost luggage subcontractor created a report and said I would hear from Iberia when my luggage would be delivered. Iberia has a tool on its website for checking the status of lost bags, but I continually got a message that they were having technical difficulties whenever I checked it. By the next morning I had heard nothing, so I called the numbers for Iberia’s lost baggage department. I was told the bags were in the Madrid airport and would be delivered by 1:40 pm (13:40). I went to the airport but my bags were not there. The lost luggage subcontractor had no information at all. I called the lost baggage department back and was told they had not yet received “confirmation” from the Madrid airport’s “lost and found” so could not put the bags on a flight to Mallorca. They refused to tell me why they needed a confirmation from lost and found or when that would be forthcoming. They gave me a number to call the lost and found at Madrid airport. I called Madrid lost and found and they told me they had nothing to do with lost luggage. I called the lost baggage department back and they told me they had no idea where the bags were, that they were waiting to hear from the airports involved and knew nothing about when I would get my bags. I asked them if they had contacted the airports to get information about my bags, and they would not tell me. When I pressed them about what they were doing to get my luggage to me, the representative hung up on me. I have no idea when I will get my luggage - or if I ever will.",,,Solo Leisure,Economy Class,Chicago to Mallorca via Madrid,March 2025,3.0,3.0,2.0,1.0,3.0,,1,no
30,Icelandair,8,"""quick to issue a full compensation""",1st April 2025,True,"   Good job of Icelandair, Our flight was cancelled day of the flight due to weather issues. We got rebooked to the next day. We had to rebook hotel and had additional stress the day of. But after returning Icelandair was relatively quick to issue a full compensation and reimbursed us for hotel and meal. Thank you.",,,Couple Leisure,Economy Class,Amsterdam to Keflavik,January 2025,3.0,5.0,2.0,2.0,,,3,no
31,ITA Airways,1,"""needs to work on its Business Class product""",31st March 2025,True,"   The food in Business Class is disgusting, especially considering that Italy is a Food nation. Mainly cheap bread and a disgusting small salad. Another disappointment is that if you book Business Class for the domestic flight you are seated in Economy Class. And this for one way ticket costs at 985 EUR. Complete rip off. The aircraft was new, the seats nice, but the floor full of dirt. ITA needs to work on its Business Class product, current level is inacceptable.",,,Solo Leisure,Business Class,Zurich to Venice via Rome,March 2025,3.0,3.0,1.0,4.0,,,1,no
32,Jetblue Airways,1,"""unable to file a claim""",31st March 2025,False,  The worst service overall. Boarding pass information is completely unavailable and staff are super unpardonable and down right mean. Our bags got broken on our flight and we were unable to file a claim for broken baggage because of their office hours. Not an ounce of compassion. Had multiple errors on the boarding passes with incorrect terminal information and times! Unbelievable for how much they charge.,,,Family Leisure,Economy Class,Detroit to Boston,March 2025,3.0,2.0,1.0,1.0,4.0,4.0,1,no
33,Jetstar Airways,1,"""pay the $75, everything becomes safe""",29th March 2025,True,"   Even if you have paid for 23 kgs of luggage, and have not checked you luggage in and your carryon is over 7kgs, they clobber you with a $75 fee “because it’s not safe to have luggage in the overhead that’s heavier than 7kgs” but, it seems if you pay the $75, everything becomes safe again!",,,Family Leisure,Economy Class,Melbourne to Sydney,March 2025,1.0,1.0,,1.0,,,1,no
34,KLM Royal Dutch Airlines,2,"""I would not recommend KLM""",30th March 2025,True,"   We travelled KLM Glasgow to Amsterdam. Outgoing flight was good, however on our return the flights was delayed, then there was an issue with the aircraft and we were assigned a different gate. By this time the flight was over an hour late. Then however we were notified by SMA that our seats had been removed as the aircraft was too small to seat our original passenger count. KLM provided no way of getting us home at all that day. This caused us a lot of stress as we had no childcare arrangements for our kids that evening and meant we missed important work arrangements and a family funeral the next morning. KLM were extremely unsympathetic to our situation at the time and in the ensuing communication. I would not recommend KLM as they are not reliable. I will not be flying KLM in future.",,,Couple Leisure,Economy Class,Glasgow to Amsterdam,March 2025,3.0,4.0,3.0,2.0,1.0,1.0,1,no
35,LATAM Airlines,1,"""really behind the times""",31st March 2025,True,"   I booked my flight months in advance and paid for seat assignments. I selected seats at the front of the plane, but during check-in, seats were automatically re-assigned to the back of the plane, last row to be exact. Why pay for seats then? The instructions were also unclear and boarding was confusing. Overall, LATAM is really behind the times.",,,Family Leisure,Economy Class,Puerto Natales to Santiago de Chile ,March 2025,3.0,3.0,1.0,1.0,1.0,1.0,1,no
36,Lufthansa,1,"""not given me a cent of reimbursement""",31st March 2025,True,"   I recently (March 2025) was on a business trip from US to Europe. The original flight was cancelled due to a strike in Frankfurt. I fly a lot, so not the first time. But this is when several red flags began to happen. The first red flag was Lufthansa did not offer an alternative flight. The only way to communicate with them was through a chat bot, there was no real person to talk to. The only options I had was to refund my flight and completely new book, which would have been insanely expensive or to update to another flight two days later for an additional $650. Why Lufthansa did not offer this update for free was beyond me to understand. Lufthansa refused to reimburse me these $650. I ended up paying more than $2,500 for a flight ticket from the East Coast of US to Frankfurt.  But it gets better. The first flight was a leg from Raleigh to Newark. That flight was delayed, which then led to me being rebooked on a Lufthansa flight from Newark to Munich, which also was delayed, which then led again for me to be rebooked on a different flight from Munich to Frankfurt. The funny part is that a United customer service agent was able to rebook me last minute on a flight to Germany on Lufthansa. Something that Lufthansa was not able to do two days earlier when their flight was cancelled! This last-minute rebooking of course also led to a downgrade of my booked class. I flew Economy.  Over this entire process, Lufthansa has lost my luggage. At that point, I only had two days in Europe anyways, but all the appointments that I cramped into those two days had to be cancelled, because I literally only had one change of cloth with me. Thankfully my mother lives in Germany, so I could rent a car and drive to my mother to stay until my luggage was found. At that point, I already has another flight to Asia, so I lost an entire week of work, thanks to Lufthansa. At the end of the day, I paid more than $2,500 for an economy class flight from Raleigh to Frankfurt, that was more than 48 hours too late, and during which my luggage was lost. Lufthansa has not given me a cent of reimbursement. Dealing with their customer service, which you only can reach via web portal, is an absolute pain. They expect you to know all the Lufthansa specific rules and regulations. It seems their main aim is not to satisfy their customer, but to save as much money as possible. I travel a lot for work, and I flew many many airlines in my life. I always looked forward to fly Lufthansa. But this experience has changed my mind. There are many other airlines that fly to Europe. They all have to deal with strikes, they all lose luggage sometimes. But every single airline I ever flew with, even the US based airlines, were friendlier and more helpful in their customer relations than Lufthansa. Lufthansa just lost a customer in me. And I don't wish for anyone to have the same experience.",,A350,Business,Premium Economy,Newark to Frankfurt,March 2025,3.0,3.0,,1.0,,,1,no
37,Norse Atlantic Airways,5,“a most average experience”,2nd April 2025,True," It was a most average experience across the Atlantic. The check-in and gate staff at Gatwick were professional yet brusque, didn't seem like they had much of a sense of humor or desire to be there. The seat was clean enough, until I noticed some dust and grime around different tray tables and arm rests at, as well as in the area around, my seat. Some prior customer had even stuck chewing gum in the seat back pocket in front of me, camouflaged with the color of the seat back so that I didn't notice it until almost takeoff. Gross. The meals, snacks and drinks served on board were perfectly fine, if pricey for what they were, but then I understand that's how budget airlines the world over make their money. I noticed a change in attitude from flight attendants after about two hours into the flight, after all of those meals, goodies and drinks had been purchased en masse by the passengers. That change, at least in my interpretation, was that the flight attendants went from being quite chipper, to just professional and aloof (although there was one FA who was consistently friendly and sweet throughout the flight, period, so credit where credit is due). Another thing, I wish that Norse would include a flight map to track the route, like Spirit in the US includes for its flights. Lastly, it was telling that the same type of American who flocks to Florida en masse to vacation, is basically the same type of British person who treks across the Atlantic to Florida - the type of person who takes trashy clothing and cheap sweatpants to an art form. In all...I would make this flight again for the right price point, but I would also come in with zero expectations of anything other than getting from point A to point B.",,,Solo Leisure,Economy Class,London Gatwick to Orlando,March 2025,3.0,2.0,4.0,2.0,3.0,,4,yes
38,Norwegian,4,"""see no point in using their app""",3rd April 2025,True,"   Customer service is terrible, endless phone queues and slow, inconsistent chat responses. A simple name correction (due to an error caused by their own booking system) led to a fee of €130 and took hours to resolve. This is the kind of issue that should be easy to handle directly in their app, creating a fantastic customer experience, but instead, Norwegian completely fails here. I see no point in using their app except for accessing your boarding pass. I strongly recommend choosing another airline if hassle-free service matters to you.",https://www.airlinequality.com/wp-content/uploads/2025/04/IMG_2563-500x500.jpeg,,Family Leisure,Economy Class,Stockholm to Malaga,May 2024,,,,,,,3,no
39,Pegasus Airlines,1,"""forcing me to buy a new ticket""",31st March 2025,False,"  Under no circumstances should you choose Pegasus Airlines for your trips. This is their new policy—dodging responsibility with a laugh. Due to the negligence of an employee and a computer malfunction at the gate, I missed my flight. What's even more ridiculous is their unprofessional behavior: first, they told me they would change my ticket, but then they simply took me to the Pegasus ticket counter and abandoned me, forcing me to buy a new ticket. The customer support hasn’t done anything about it so far either. And if there was even a slight chance of enjoyment in Turkey, this airline compensates for it and ruins it for the poor passengers. ",https://www.airlinequality.com/wp-content/uploads/2025/03/20250330_151700-500x500.jpg,,Solo Leisure,Economy Class,Istanbul to Isfahan,March 2025,,,,1.0,,,1,no
40,Qatar Airways,9,"""a pleasure flying with you"" ",30th March 2025,True,"   As a regular work-related traveler, the most important thing for me is time when flying - speed at check-ins and flights departing and arriving on time as scheduled. I have been using Qatar Airways for a few years for all my international travel, and I can plan with confidence my onward travel, meetings etc. The onboarding process is seamless, and the ground staff are knowledgeable, friendly, and helpful. During flights, the same level of professionalism can be expected, and there are no surprises. I fly the same long-distance route approximately every four weeks, and the experience remains consistent. The food is usually excellent, but on my last trip a few days ago, the Doha-Amman leg, the dinner was exceptional, serving dishes that you do not usually see on flights (to clarify - I flew business class). Thank you, Qatar Airways. It remains a pleasure flying with you.",,,Business,Business Class,Johannesburg to Amman via Doha,March 2025,5.0,5.0,5.0,5.0,3.0,4.0,5,yes
41,Royal Brunei Airlines,9,"""A long but pleasant flight""",30th March 2025,True,   A long but pleasant flight. Cabin crew were kind and friendly; gave me snacks when I walked to back of the plane to stretch my legs. Food was good. The only hiccup was the website has glitches on some of the pages for online check-in when accessed from mobile phone. I had to use iPad to find a workaround in the end. 24 hour call centre / hotline based in Brunei was very useful and answered the call with no queue. You don’t get that efficiency from many carriers these days.,,Boeing 787-8,Solo Leisure,Economy Class,London to Bandai Seri Begawan via Dubai,March 2025,5.0,5.0,5.0,4.0,4.0,,5,yes
42,Ryanair,1,"""Not worth the hassle"" ",30th March 2025,True,"   Absolutely awful – unfortunately, as usual. First, an hour of waiting with no information whatsoever. Then finally an announcement that the plane is being changed – followed by another 15 minutes of complete silence. Eventually we boarded a different aircraft and took off over two hours late. My patience with this airline has run out – this was the last time I fly with them. The only real advantage is that they operate from Łódź, but that’s no longer enough to justify the hassle. The prices stopped being attractive a long time ago, and flying into Stansted means you still have to get on a train to get to London. Not worth the hassle.",,Boeing 737-800,Family Leisure,Economy Class,Stansted to Lodz,March 2025,2.0,1.0,1.0,1.0,,,1,no
43,Scoot,1,"""wouldn’t recommend this airline""",3rd April 2025,True,"   My flight from Singapore to Berlin was abruptly canceled. From the moment my flight was canceled, Scoot made no effort to help me get home. No rebooking, no alternative options. I was stranded. When I called their customer service, I was told that my case would be escalated but no one ever got back to me. Not a single email, not a call, not even an automated message. Before this mess started, the ground staff at my previous airport assured me that someone in Singapore would assist me. Had I known this was a blatant lie, I never would have taken that flight to Singapore in the first place. Instead, I ended up stuck at the airport with zero support and no way home. When I sought help from Scoot’s ground staff in Singapore, I was met with rudeness, indifference, and unprofessionalism.  Scoot proudly claims to be a “proud sister of Singapore Airlines”, but this is clearly just empty marketing. When I asked to be transferred to a Singapore Airlines flight so I could get home, I was told, “That’s not possible.” Scoot did not provide any assistance — no hotel, no food, no transport. I will never fly with Scoot or Singapore Airlines again. Not only do they not care about their passengers, but their complete lack of professionalism and compassion is appalling. I wouldn’t recommend this airline.",,,Couple Leisure,Economy Class,Krabi to Singapore,February 2025,2.0,2.0,1.0,1.0,,,1,no
44,SereneAir,3,"""third class airline""",30th March 2025,True,"   Serene Air always delayed. Specially Beijing to Islamabad this is common practice that the flight is cancelled or delayed for 8-12 hours. The same happens to me I have a flight at 9:20 from Beijing then it was delayed to 21:00, from Beijing to Islamabad. I have to move to Karachi, so I missed my flight from Islamabad to Karachi also. And all the time they tell that its operational problems. I suggest all of you that boycott this third class airline.",,,Business,Economy Class,Beijing to Islamabad,March 2025,1.0,1.0,1.0,2.0,,,2,no
45,Singapore Airlines,2,"""the screen of my seat was not working""",2nd April 2025,True,"   Brisbane to Singapore on flight SQ256. I had a bad experience during this flight. Because the screen of my seat was not working I informed the staff. He told me that there was nothing that could be done. He told me to share the screen with the person sitting next to me. How ridiculous!  The unpleasant experience didn't end there. When it was time for the meal service, I was told that the food I ordered was no longer available. The staff said that there was only one option left. I expect better service and solutions from an airline, regardless of whether I'm flying business or economy class. We pay for the service, and it's reasonable to expect a certain level of quality and professionalism",,,Family Leisure,Economy Class,Brisbane to Singapore,March 2025,1.0,2.0,1.0,3.0,,,1,no
46,Spirit Airlines,6,"""don't have any real expectations""",3rd April 2025,True,"   vI've flown with Spirit several times and also contacted their customer service center in the past to cancel a flight. Spirit can vary wildly in terms of cancellations, delays, timeliness, and staff attitudes. If using a ratio, two experiences to every one have been overwhelming positive. But the remaining one experience has royally sucked. Still, I take my chances with Spirit, because they've come to treat me more respectfully as a customer than most other US carriers, pound for pound. It helps that I understand the concept of ultra-budget airlines, having flown them around the world, and that I treat airline staff with courtesy and politeness. This most recent trip from Orlando to Louisville was mostly positive. 100% friendly airline staff on ground, and friendly though not particularly attentive in air (they only came down the aisle once to collect trash). Check-in online was easy, though it helped that I wasn't checking a bag. The flight took off and arrived early. The immediate seat was clean enough, but the seat back pocket and tray table were a bit nasty. They tout their WiFi as being the fastest of any US airline, though I haven't tried it. But I did manage to use their unpaid WiFi connection to track the flight route to Louisville on my phone, so that was cool. In all, Spirit as great, as long as you keep a good attitude and don't have any real expectations. That's the point of budget airlines, right? (And, just hope you don't get delayed by eight hours as I did once with Spirit years ago.)",,,Solo Leisure,Economy Class,Orlando to Louisville,April 2025,5.0,4.0,,5.0,,,4,yes
47,Spirit Airlines,3,"""Flight delayed by 5 hours""",1st April 2025,False,"  Worst airline experience. Flight delayed by 5 hours. No refund, no out of pocket expenses and the staff was extremely rude in responding to any requests. One day prior to this I had same experience with spirit when flight was delayed by 1.5 hours. Never flying these guys again.",,,Family Leisure,Economy Class,Miami to Newark,March 2025,1.0,1.0,1.0,1.0,,1.0,2,no
48,Super Air Jet,1,"""ended up missing my flight""",30th March 2025,True,"   I had a frustrating and disappointing experience with Super Air Jet. My flight was delayed, and when I asked the agent twice, he told me it would be delayed by an hour. Since I don’t speak the language, I relied on the screen for updates, but unfortunately, the screen never reflected any changes, and I ended up missing my flight. The situation got worse when I tried to get help. The staff informed me that they could rebook me, but the next available flight wasn’t for another five days. They refused to offer a refund and directed me to contact the third-party provider I booked my ticket with (Capital One). As a result of missing my flight, I had to spend additional money on new accommodations and buy a new flight with another airline. I spent over three hours with customer service trying to find a resolution, but there was no solution in sight. I would not recommend Super Air Jet based on this experience, as their communication, customer service, and problem resolution were all severely lacking.",,,Solo Leisure,Economy Class,Jakarta to Lombok,March 2025,1.0,1.0,,1.0,,,1,no
49,Thai Airways,1,"""The worst customer service""",30th March 2025,True,"   The worst customer service I’ve seen. There is a delay, and we missed the connecting flight. Either the air crew and the group crew have an attitude. We were given a hotel and told to take a flight the next day, although I have to work the next day. ",,,Solo Leisure,Economy Class,Singapore to Hong Kong via Bangkok,March 2025,3.0,1.0,2.0,1.0,2.0,,1,no
50,United Airlines,1,"""not received any compensation""",29th March 2025,False,"  I took my annual vacation to Cebu Philippines in November 2024. The attendants are not very professional nor friendly. The return flight was even worse.  The flight from Seoul (ICN) was the biggest issue. The flight boarded and took off but had to return to the airport for a technical issue. The flight attendant said the plane was out of balance. This was after 1 1/2 hours into the flight. Then we were put on the Skybridge while the problems, more than just the weight distribution were fixed. One point to consider was I had a 7 hour layover in Seoul. We finally took off again after a long wait. Upon arriving in San Francisco (SFO), the connecting flight had taken off an hour earlier. I was supposed to have a 3 hour layover in SFO. I had to wait another 13 hours for another flight. no meal voucher, no hotel room, no compensation. After finally arriving in Raleigh (RDU) my luggage was not present. So I had to file a claim for lost luggage. No compensation or any concern about it. The Luggage claims desk did not even know there was a flight arriving that morning. I had to make numerous phone calls, one representative actually laughed about it. I have not received any compensation from United for their lack of professionalism, and availability to conduct a flight operation within a reasonable schedule.",,,Solo Leisure,Economy Class,Cebu to Raleigh Durham via Seoul,November 2024,1.0,1.0,1.0,1.0,2.0,,1,no
51,Vietnam Airlines,8,"""cabin crew were professional""",3rd April 2025,True,"   Was on flight with Vietnam Airlines from Hanoi to Osaka-Kansai on its business class. Nothing to complain as ground staff, cabin crew were professional and offered the best that they could. Seat was comfortable. I chose the Japanese breakfast and found that it was somehow delicious. Inflight entertainment, surprisingly, was excellent with new movies and music album. No WiFI onboard, even in business class, which may be something the airline should consider to improve.",,Boeing 787-10,Business,Business Class,Hanoi to Osaka-Kansai,March 2025,5.0,5.0,4.0,5.0,5.0,,4,yes
52,Vietnam Airlines,6,"""Inflight entertainment was good""",3rd April 2025,True,"   Flight was on time and ground service was handled professionally by the Japanese staff. Economy class passengers were offered blankets and pillows on this flight. Lunch was at average quality, not bad but not good too. Inflight entertainment was good too. However, it was somehow not a nice flight to me as a baby was crying loudly during the flight, and I had to reluctantly ""enjoy"" the terrible foot odor from the one who was sitting next to me.",,,Couple Leisure,Economy Class,Osaka-Kansai to Hanoi,April 2025,4.0,3.0,3.0,5.0,4.0,,3,yes
53,Vietnam Airlines,1,"""Never again, Vietnam Airlines""",31st March 2025,True,"   The flight was just 2 hours delayed, but this was the smallest issue. At the arrival I recognised my luggage is damaged, a Samsonite 300 USD one. As a compensation they offered me 11 USD. I heard many people had issues with damaged luggage but compensation is actually nothing. Cannot recommend to hand any luggage to them. After checking with their customer service they insist on 300.000 VND (11 USD). Never again, Vietnam Airlines.",https://www.airlinequality.com/wp-content/uploads/2025/03/IMG_4513-500x500.jpeg,A320,Family Leisure,Economy Class,Singapore to Da Nang via Ho Chi Minh city,March 2025,2.0,2.0,2.0,1.0,,,1,no
54,Volaris,1,"""think twice before booking with Volaris""",2nd April 2025,True,"   I wasn’t able to fly with Volaris on March 30, 2025, at 4:45 PM because they overbooked the flight and canceled two of the three seats I had booked months in advance—one for my brother and one for my sister. While my seat was still available, I obviously wasn’t going to fly without them. Volaris made no effort to resolve the issue and offered absolutely no assistance. To make matters worse, they didn’t provide compensation, a hotel stay, food, or any kind of support. I was forced to book a last-minute flight with another airline for the next day since there were no available flights that same night. This cost me over $2,000, plus an extra $100 for food and drinks while I had to stay up all night and all day at the airport. We were stranded there for over 14 hours, and during this time, both of my siblings suffered from dehydration due to the lack of proper rest and resources. The lack of professionalism and customer service from Volaris was beyond frustrating. This was my first experience with them, and it will definitely be my last. I strongly advise others to think twice before booking with Volaris.",,,Family Leisure,Economy Class,Mexico City to Oakland,March 2025,,,,1.0,,,1,no
55,Volotea,9,"""never had any problems"" ",2nd April 2025,True,   I have been flying with Volotea for years and have never had any problems. I believe that the company is one of the best in existence. This is due to all the staff and the company organization. Sono anni che volo con Volotea non ho avuto mai problemi. Ritengo che la compagnia sia una delle migliori tra quelle in essere. Questo merito vs al personale tutto e all'organizzazione aziendale. ,,,Family Leisure,Economy Class,Ancona to Catania,March 2025,4.0,5.0,5.0,4.0,5.0,4.0,5,yes
56,Volotea,10,"""Good experience""",31st March 2025,True,   Good experience. The  flight assistants have been very kind and I arrived on time The cost of the ticket was really convenient. I hope to fly again with them,,,Family Leisure,Economy Class,Firenze to Cagliari,March 2025,5.0,5.0,,5.0,,5.0,5,yes
57,Volotea,10,"""I recommend this company""",31st March 2025,False,"  I appreciate that this company is opening routes from Brest to cities like Strasbourg and Nice, for example, which is very useful both for my work and for visiting my family. The fares offered are very attractive and the service is of a very good level. I recommend this company. J'apprecie que cette compagnie ouvre des lignes au départ de Brest vers des villes comme Strasbourg et Nice par exemple, ce qui est tres utile aussi bien pour mon travail que pour rendre visite a ma famille. Les tarifs proposés sont tres intéressants et le service est de tres bon niveau. Je recommande cette compagnie. ",,A320,Couple Leisure,Economy Class,Brest to Strasbourg,March 2025,5.0,5.0,,5.0,,,5,yes
58,Vueling Airlines,1,"""seat is not refundable""",2nd April 2025,True,"   Was held at check-in where someone took my passport, did not explain what's wrong and had to talk with multiple people to get it back? Was asked to scan my boarding pass multiple times despite it working from the very first time? Never got an explanation and was asked hastily to go on the plane. Bought priority seats and everything but by the time I was onboard I had to put my luggage further down, delaying everything on my way off. Stewardesses did nothing, both in the beginning or the end. Asked a refund as I basically didn't benefit from the priority ticket/seat. Didn't have space for one piece of luggage, let alone two. Received email today that seat is not refundable which is insane given the subpar service on literally everything. ",,,Solo Leisure,Economy Class,Barcelona to London,March 2025,1.0,1.0,,1.0,,1.0,1,no
